date,close
2014-01-01,754.9
2014-01-02,784.19
2014-01-03,809.4
2014-01-04,828.79
2014-01-05,905
2014-01-06,919.24
2014-01-07,785
2014-01-08,823.45
2014-01-09,824.76
2014-01-10,852.61
2014-01-11,896.59
2014-01-12,844.05
2014-01-13,823
2014-01-14,815.99
2014-01-15,841.14
2014-01-16,814.4
2014-01-17,797.2
2014-01-18,810
2014-01-19,842.07
2014-01-20,826.02
2014-01-21,824.89
2014-01-22,819.2
2014-01-23,812
2014-01-24,780
2014-01-25,806.8
2014-01-26,814.75
2014-01-27,751.95
2014-01-28,788
2014-01-29,794.21
2014-01-30,799.99
2014-01-31,803
2014-02-01,813.23
2014-02-02,814.99
2014-02-03,808.5
2014-02-04,802.99
2014-02-05,782.33
2014-02-06,763.99
2014-02-07,705.01
2014-02-08,680.49
2014-02-09,687.37
2014-02-10,687.81
2014-02-11,675.1
2014-02-12,651.99
2014-02-13,604.11
2014-02-14,669
2014-02-15,655.83
2014-02-16,621
2014-02-17,633.66
2014-02-18,627.7
2014-02-19,623.01
2014-02-20,561.86
2014-02-21,581.35
2014-02-22,610.88
2014-02-23,610.09
2014-02-24,535.49
2014-02-25,535
2014-02-26,585.24
2014-02-27,583
2014-02-28,551.89
2014-03-01,567.48
2014-03-02,566.24
2014-03-03,677.69
2014-03-04,673
2014-03-05,669.99
2014-03-06,669.57
2014-03-07,632.79
2014-03-08,620
2014-03-09,640
2014-03-10,629.39
2014-03-11,632.1
2014-03-12,634.95
2014-03-13,641.01
2014-03-14,630.42
2014-03-15,637.24
2014-03-16,634.99
2014-03-17,621.11
2014-03-18,612
2014-03-19,611.2
2014-03-20,587.98
2014-03-21,570
2014-03-22,565.31
2014-03-23,561
2014-03-24,585.99
2014-03-25,583.77
2014-03-26,581.49
2014-03-27,475
2014-03-28,502.01
2014-03-29,491.99
2014-03-30,460
2014-03-31,454.83
2014-04-01,478.98
2014-04-02,439
2014-04-03,451.03
2014-04-04,452.2
2014-04-05,464.8
2014-04-06,456.27
2014-04-07,447.11
2014-04-08,453.57
2014-04-09,441.69
2014-04-10,363.12
2014-04-11,423
2014-04-12,423.42
2014-04-13,416.3
2014-04-14,458.5
2014-04-15,521
2014-04-16,530
2014-04-17,500.09
2014-04-18,483.11
2014-04-19,503.8
2014-04-20,500
2014-04-21,496.74
2014-04-22,490
2014-04-23,492
2014-04-24,502.2
2014-04-25,466.52
2014-04-26,459
2014-04-27,430
2014-04-28,442.9
2014-04-29,448
2014-04-30,448.85
